,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Mo,Cd,Ba,Pb
SH-60B_Disk_t15_Tot,0.005,177.258,12.646,0.337,0.725,1.012,3.614,0.046,0,0.044,0.027,0.001,0.002,0.001,0.702,0.056,0.001,0,0.526,0.001
SH-60B_Disk_t18_Tot,0.006,187.352,14.603,0.103,0.75,1.1,4.221,0.054,0,0.055,0.043,0.001,0.004,0.003,0.747,0.073,0.002,0,0.634,0.001
SH-60B_Disk_t23_Tot,0.007,180.95,15.751,0.459,0.843,1.048,4.466,0.057,0.031,0.069,0.216,0.002,0.059,0.002,0.743,0.069,0.002,0,0.73,0.001
,,,,,,,,,,,,,,,,,,,,
BLANK,0,0.051,0.004,0.024,0.053,0.034,0.025,0,0.001,0.007,0.009,0,0.001,0.001,0.003,0,0.004,0,0.002,0
SH-64B_Disk_t0_Tot,0.006,172.65,0.019,0.039,0.435,0.31,0.051,0.001,0.001,0.002,0.023,0.001,0.003,0.001,0.323,0.001,0.001,0,0.024,0.001
SH-64B_Disk_t0.5_Tot,0.005,178.992,1.548,0.303,0.484,0.436,0.558,0.01,0.001,0.01,0.08,0.006,0.005,0.001,0.564,0.008,0.002,0,0.044,0.001
SH-64B_Disk_t1_Tot,0.005,178.676,3.878,0.347,0.659,0.526,1.246,0.016,0.001,0.016,0.09,0.001,0.003,0.001,0.544,0.017,0.001,0,0.061,0.001
SH-64B_Disk_t2_Tot,0.005,174.97,5.202,0.083,0.673,0.914,1.623,0.023,0,0.02,0.128,0.001,0.002,0.001,0.556,0.022,0.001,0,0.056,0.001
SH-64B_Disk_t3_Tot,0.005,179.002,7.263,0.211,0.97,0.684,2.118,0.029,0.001,0.03,0.139,0.001,0.001,0.001,1.102,0.027,0.001,0,0.091,0.001
SH-64B_Disk_t4_Tot,0.005,179.274,8.236,0.271,0.981,0.564,2.38,0.032,0.001,0.033,0.21,0.001,0.001,0.001,1.01,0.029,0.001,0,0.089,0.001
SH-64B_Disk_t7_Tot,0.004,185.194,11.308,0.231,0.713,0.647,3.346,0.043,0.006,0.062,0.229,0.002,0.079,0.001,0.911,0.036,0.001,0,0.138,0.001
SH-64B_Disk_t9_Tot,0.005,180.589,12.384,0.371,0.951,0.683,3.623,0.051,0.001,0.057,0.142,0.001,0.003,0.001,0.95,0.041,0.001,0,0.156,0.001
SH-64B_Disk_t15_Tot,0.005,187.38,15.95,0.169,0.951,0.813,4.605,0.061,0.001,0.075,0.254,0.003,0.019,0.001,1.114,0.046,0.001,0,0.213,0.001
SH-64B_Disk_t18_Tot,0.006,177.776,16.684,0.306,1.197,0.754,4.922,0.065,0.001,0.081,0.249,0.001,0.003,0.001,1.196,0.052,0.001,0,0.259,0.001
SH-64B_Disk_t23_Tot,0.007,182.197,19.391,0.304,1.262,0.737,5.738,0.073,0.001,0.094,0.124,0.004,0.003,0.048,1.292,0.057,0.001,0,0.292,0.001
,,,,,,,,,,,,,,,,,,,,
