,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,Ba,Pb
SH64B Disk t3,3.116,179009.899,2101.288,47.724,1440.212,59424.890,692.127,8.938,3.249,2.234,25.889,0.215,3.016,1.489,100.411,0.057,13.267,19.126,0.088,31.344,2.003
SH64B Disk t4,3.626,186355.156,2393.822,28.975,1519.206,61098.323,809.651,9.855,2.137,2.270,23.779,0.265,2.942,1.334,102.464,0.029,14.995,19.063,0.132,32.430,2.142
SH64B Disk t7,3.380,185284.194,2970.877,35.685,1333.287,60071.877,945.630,11.628,2.625,2.044,16.521,0.254,2.919,1.598,72.071,0.087,17.076,19.798,0.114,36.003,1.945
SH64B Disk t9,2.840,182270.088,3167.114,40.236,1552.964,60655.993,1026.069,12.458,2.265,1.841,20.242,0.285,2.200,1.616,66.797,0.028,17.055,18.942,0.167,39.187,2.126
SH64B Disk t15,3.717,184326.947,3871.335,33.952,1548.674,59907.158,1193.377,14.921,2.113,1.769,23.162,0.296,2.415,2.206,43.125,0.030,20.095,19.165,0.159,44.458,2.138
SH64B Disk t18,2.635,190054.637,4073.713,30.184,1581.300,62822.323,1257.557,15.830,1.786,1.968,19.515,0.313,2.691,2.736,81.641,0.074,21.311,20.580,0.139,51.088,2.208
SH64B Disk t23,3.544,181914.055,4340.323,34.193,1584.800,61241.683,1368.741,16.864,1.423,2.146,17.234,0.294,2.003,2.218,56.323,0.056,22.042,19.783,0.175,53.366,2.169
SH64B Disk t42,3.254,185355.383,5687.950,37.632,1778.401,61095.605,1639.625,20.935,1.566,2.559,36.214,0.357,1.676,3.114,76.116,0.056,25.572,19.254,0.213,93.852,2.222
,,,,,,,,,,,,,,,,,,,,,
Blank,0.420,59.053,3.037,4.825,156.926,42.434,10.628,0.192,0.189,0.097,2.327,0.022,0.261,0.170,0.807,0.000,0.072,0.143,0.016,0.643,0.467
C4-67B Disk t0,4.264,194447.392,36.685,29.218,1262.473,212533.616,103.695,1.349,1.131,1.489,18.839,1.098,1.929,3.230,110.814,0.087,1.858,55.840,0.479,31.300,3.204
C4-67B Disk t0.5,3.714,183164.436,580.309,56.709,1170.361,639.698,279.407,3.989,0.949,4.826,44.367,0.235,2.066,0.940,212.138,0.125,10.115,1.018,0.279,18.924,2.734
C4-67B Disk t1,3.066,183928.157,883.789,31.230,1258.664,629.493,371.359,4.867,0.938,7.501,45.248,0.232,2.019,0.822,198.694,0.096,15.213,1.035,0.160,11.520,2.301
C4-67B Disk t2,3.505,181709.607,1187.920,44.481,1241.436,661.855,477.495,7.112,2.165,9.707,56.899,0.370,4.751,0.917,172.259,0.041,18.510,1.026,0.097,12.472,2.107
C4-67B Disk t3,3.622,185533.086,1467.710,33.934,1303.967,744.290,588.868,10.000,0.928,12.276,37.926,0.320,2.120,1.219,141.657,0.068,21.639,0.913,0.095,12.957,2.151
C4-67B Disk t4,2.637,181633.622,1625.414,39.379,1235.686,666.426,666.548,9.454,0.889,12.755,38.532,0.296,1.913,0.917,140.456,0.083,23.901,0.952,0.076,12.137,2.185
