Shale Number,Disk./ Dust,Treatment,TIMEPOINT,VALUE,TIMEPOINT,O2
64,Disk,C,t3,7.37,3:34 PM,0.264
64,Disk,C,t4,7.19,3:29 PM,0.259
64,Disk,C,t7,N/A,3:34 PM,0.255
64,Disk,C,t9,7.5,4:51 PM,0.255
64,Disk,C,t15,8,2:17 PM,0.259
64,Disk,C,t18,8,12:15 PM,0.259
64,Disk,C,t23,8,1:37 PM,0.261
64,Disk,C,t42,N/A,1:15 PM,0.303
67,Disk,C,t0,5.6,N/A,N/A
67,Disk,C,t0.5,6.51,8:22 PM,0.265
67,Disk,C,t1,6.18,4:29 PM,0.248
67,Disk,C,t2,7.26,3:42 PM,0.244
67,Disk,C,t3,7.25,3:41 PM,0.234
67,Disk,C,t4,7.19,3:38 PM,0.229
67,Disk,C,t7,N/A,3:39 PM,0.226
67,Disk,C,t9,8,4:58 PM,0.226
67,Disk,C,t15,8,2:24 PM,0.23
67,Disk,C,t18,8,12:23 PM,0.235
67,Disk,C,t23,8,1:43 PM,0.238
67,Disk,C,t42,N/A,1:22 PM,0.279
67,Dust,B,t0,4.85,N/A,N/A
67,Dust,B,t0.5,7.06,8:37 PM,0.178
67,Dust,B,t1,6.88,4:42 PM,0.137
67,Dust,B,t2,7.37,3:51 PM,0.119
67,Dust,B,t3,7.84,3:51 PM,0.097
67,Dust,B,t4,7.9,3:45 PM,0.091
67,Dust,B,t7,N/A,3:43 PM,0.057
67,Dust,B,t9,8,5:05 PM,0.008
67,Dust,B,t15,8,2:30 PM,0.005
67,Dust,B,t18,8,12:30 PM,0.002
67,Dust,B,t23,8,1:47 PM,0.002
67,Dust,B,t42,N/A,1:27 PM,0.002
67,Dust,C,t0,5.6,N/A,N/A
67,Dust,C,t0.5,8.06,8:42 PM,0.38
67,Dust,C,t1,7.96,4:46 PM,0.301
67,Dust,C,t2,8.3,3:57 PM,0.256
67,Dust,C,t3,8.65,3:55 PM,0.219
67,Dust,C,t4,8.66,3:51 PM,0.194
67,Dust,C,t7,N/A,3:46 PM,0.156
67,Dust,C,t9,8.5,5:11 PM,0.137
67,Dust,C,t15,8.5,2:34 PM,0.099
67,Dust,C,t18,8.5,12:34 PM,0.09
67,Dust,C,t23,8,1:51 PM,0.072
67,Dust,C,t42,N/A,1:34 PM,0.005
64,Dust,B,t0,4.85,N/A,N/A
64,Dust,B,t0.5,7.81,8:47 PM,0.016
64,Dust,B,t1,7.81,4:52 PM,0.008
64,Dust,B,t2,7.93,4:03 PM,0.01
64,Dust,B,t3,8.27,4:00 PM,0.008
64,Dust,B,t4,8.46,3:55 PM,0.008
64,Dust,B,t7,N/A,3:49 PM,0.002
64,Dust,B,t9,8.5,5:16 PM,0.001
64,Dust,B,t15,8.5,2:38 PM,0
64,Dust,B,t18,8,12:38 PM,0
64,Dust,B,t23,8,1:54 PM,0
64,Dust,B,t42,N/A,1:38 PM,0
64,Dust,C,t0,5.6,N/A,N/A
64,Dust,C,t0.5,8.28,8:53 PM,0.529
64,Dust,C,t1,8.17,5:03 PM,0.306
64,Dust,C,t2,8.6,4:10 PM,0.268
64,Dust,C,t3,8.54,4:06 PM,0.228
64,Dust,C,t4,8.5,4:00 PM,0.201
64,Dust,C,t7,N/A,3:54 PM,0.164
64,Dust,C,t9,8.5,5:20 PM,0.15
64,Dust,C,t15,8.5,2:42 PM,0.111
64,Dust,C,t18,8,12:42 PM,0.094
64,Dust,C,t23,8,1:59 PM,0.06
64,Dust,C,t42,N/A,1:43 PM,0.004
